,,Fecal Coliform
,,(#/100 mL)
Site,Date,Top
E8,2016-06-13 00:00:00,5
FB1,2016-06-13 00:00:00,148
FLC1,2016-06-13 00:00:00,3900
FLC2,2016-06-13 00:00:00,1700
H3,2016-06-13 00:00:00,38
LN1,2016-06-13 00:00:00,24
N1,2016-06-13 00:00:00,10
N3B,2016-06-13 00:00:00,16
N4,2016-06-13 00:00:00,11
N5,2016-06-13 00:00:00,3
NR1,2016-06-13 00:00:00,4
AC1,2016-06-09 00:00:00,2700
AC2,2016-06-09 00:00:00,5300
BR1,2016-06-09 00:00:00,4200
BR3,2016-06-09 00:00:00,22000
CIC3,2016-06-08 00:00:00,45
GB1,2016-06-08 00:00:00,11
N9,2016-06-08 00:00:00,1
N9A,2016-06-08 00:00:00,1
G2,2016-06-07 00:00:00,14
K1,2016-06-07 00:00:00,25
K2,2016-06-07 00:00:00,47
K3,2016-06-07 00:00:00,100
K4,2016-06-07 00:00:00,19
K5,2016-06-07 00:00:00,11
K5A,2016-06-07 00:00:00,3
K6,2016-06-07 00:00:00,3
N6,2016-06-07 00:00:00,18
N7,2016-06-07 00:00:00,10
N8,2016-06-07 00:00:00,12
NC0,2016-06-07 00:00:00,4300
NC1,2016-06-07 00:00:00,5900
NC2,2016-06-07 00:00:00,4200
NC3,2016-06-07 00:00:00,2300
BR5,2016-06-06 00:00:00,440
E10,2016-06-06 00:00:00,12
E11,2016-06-06 00:00:00,1900
E14,2016-06-06 00:00:00,260
E15,2016-06-06 00:00:00,1800
E2,2016-06-06 00:00:00,172
E4,2016-06-06 00:00:00,410
E6,2016-06-06 00:00:00,390
E7,2016-06-06 00:00:00,630
E8,2016-06-06 00:00:00,660
FB1,2016-06-06 00:00:00,700
FLC1,2016-06-06 00:00:00,6500
FLC2,2016-06-06 00:00:00,3900
H3,2016-06-06 00:00:00,650
LN1,2016-06-06 00:00:00,58
N1,2016-06-06 00:00:00,84
N3B,2016-06-06 00:00:00,88
N4,2016-06-06 00:00:00,48
N5,2016-06-06 00:00:00,72
NR1,2016-06-06 00:00:00,116
AC1,2016-06-03 00:00:00,2000
AC2,2016-06-03 00:00:00,150
BR1,2016-06-03 00:00:00,850
BR3,2016-06-03 00:00:00,1450
BB2,2016-06-02 00:00:00,3100
BB4,2016-06-02 00:00:00,580
CIC3,2016-06-02 00:00:00,126
E12,2016-06-02 00:00:00,17
E13,2016-06-02 00:00:00,11
GB1,2016-06-02 00:00:00,2
HR03,2016-06-02 00:00:00,210
HR1,2016-06-02 00:00:00,192
HR2,2016-06-02 00:00:00,1300
J1,2016-06-02 00:00:00,10
J10,2016-06-02 00:00:00,25
J11,2016-06-02 00:00:00,8
J12,2016-06-02 00:00:00,12
J2,2016-06-02 00:00:00,16
J3,2016-06-02 00:00:00,26
J5,2016-06-02 00:00:00,6
J7,2016-06-02 00:00:00,11
J8,2016-06-02 00:00:00,11
J9A,2016-06-02 00:00:00,37
JA1,2016-06-02 00:00:00,14
N16,2016-06-02 00:00:00,1
N9,2016-06-02 00:00:00,1
N9A,2016-06-02 00:00:00,4
PB2,2016-06-02 00:00:00,NS
PB3,2016-06-02 00:00:00,42
SP2,2016-06-02 00:00:00,26
TB1,2016-06-02 00:00:00,210
TB2,2016-06-02 00:00:00,63
WC1,2016-06-02 00:00:00,460
WC2,2016-06-02 00:00:00,380
WC3,2016-06-02 00:00:00,66
CIC2,2016-06-01 00:00:00,42000
G2,2016-06-01 00:00:00,47
GC3,2016-06-01 00:00:00,510
GC4,2016-06-01 00:00:00,460
GC5,2016-06-01 00:00:00,670
GC6,2016-06-01 00:00:00,760
K1,2016-06-01 00:00:00,100
K2,2016-06-01 00:00:00,136
K3,2016-06-01 00:00:00,80
K4,2016-06-01 00:00:00,132
K5,2016-06-01 00:00:00,53
K5A,2016-06-01 00:00:00,19
K6,2016-06-01 00:00:00,4
N6,2016-06-01 00:00:00,80
N7,2016-06-01 00:00:00,48
N8,2016-06-01 00:00:00,28
NC0,2016-06-01 00:00:00,6000
NC1,2016-06-01 00:00:00,4100
NC2,2016-06-01 00:00:00,3400
NC3,2016-06-01 00:00:00,2400
SP1,2016-06-01 00:00:00,1450
BR5,2016-05-31 00:00:00,1350
E10,2016-05-31 00:00:00,27
E11,2016-05-31 00:00:00,176
E14,2016-05-31 00:00:00,280
E15,2016-05-31 00:00:00,10100
E2,2016-05-31 00:00:00,224
E4,2016-05-31 00:00:00,455
E6,2016-05-31 00:00:00,2000
E7,2016-05-31 00:00:00,290
E8,2016-05-31 00:00:00,590
F1,2016-05-31 00:00:00,440
F5,2016-05-31 00:00:00,2500
FB1,2016-05-31 00:00:00,3600
FLC1,2016-05-31 00:00:00,21000
FLC2,2016-05-31 00:00:00,25000
H3,2016-05-31 00:00:00,1100
HC1,2016-05-31 00:00:00,3200
HC2,2016-05-31 00:00:00,10
HC3,2016-05-31 00:00:00,590
J14,2016-05-31 00:00:00,11
J16,2016-05-31 00:00:00,300
LN1,2016-05-31 00:00:00,84
N1,2016-05-31 00:00:00,5
N3B,2016-05-31 00:00:00,60
N4,2016-05-31 00:00:00,40
N5,2016-05-31 00:00:00,55
NR1,2016-05-31 00:00:00,104
AC1,2016-05-26 00:00:00,700
AC2,2016-05-26 00:00:00,3200
BR1,2016-05-26 00:00:00,256
BR3,2016-05-26 00:00:00,140
E12,2016-05-26 00:00:00,8
E13,2016-05-26 00:00:00,1
HR03,2016-05-26 00:00:00,440
HR1,2016-05-26 00:00:00,280
HR2,2016-05-26 00:00:00,188
WC1,2016-05-26 00:00:00,48
WC2,2016-05-26 00:00:00,40
WC3,2016-05-26 00:00:00,2
BB2,2016-05-25 00:00:00,370
BB4,2016-05-25 00:00:00,63
CIC2,2016-05-25 00:00:00,18
CIC3,2016-05-25 00:00:00,99
GB1,2016-05-25 00:00:00,3
GC3,2016-05-25 00:00:00,10
GC4,2016-05-25 00:00:00,10
GC5,2016-05-25 00:00:00,10
GC6,2016-05-25 00:00:00,10
J1,2016-05-25 00:00:00,2
J10,2016-05-25 00:00:00,4
J11,2016-05-25 00:00:00,6
J12,2016-05-25 00:00:00,1
J2,2016-05-25 00:00:00,4
J3,2016-05-25 00:00:00,4
J5,2016-05-25 00:00:00,1
J7,2016-05-25 00:00:00,6
J8,2016-05-25 00:00:00,31
J9A,2016-05-25 00:00:00,4
JA1,2016-05-25 00:00:00,3
N16,2016-05-25 00:00:00,2
N9,2016-05-25 00:00:00,2
N9A,2016-05-25 00:00:00,2
PB2,2016-05-25 00:00:00,14
PB3,2016-05-25 00:00:00,11
SP1,2016-05-25 00:00:00,36
